[2026-04-18 21:35:37,035] [CALIBRATION] normalize=True val_keep_original_size=False train_size=(512, 512)
[2026-04-18 21:35:37,316] Train from scratch!
[2026-04-18 22:34:19,956] iter=9200/10000 lr=4.21053e-05 loss=0.565234
[2026-04-18 22:34:39,256] iter=9250/10000 lr=3.94737e-05 loss=0.451608
[2026-04-18 22:34:59,895] iter=9300/10000 lr=3.68421e-05 loss=0.417077
[2026-04-18 22:35:14,298] iter=9350/10000 lr=3.42105e-05 loss=0.319212
[2026-04-18 22:35:34,413] iter=9400/10000 lr=3.15789e-05 loss=0.241705
[2026-04-18 22:35:49,302] iter=9450/10000 lr=2.89474e-05 loss=0.246688
[2026-04-18 22:36:07,116] iter=9500/10000 lr=2.63158e-05 loss=0.297331
[2026-04-18 22:36:19,080] [VAL] iter=9500 aAcc=90.0258 mIoU=66.8241 mDice=77.9251 mFscore=77.9251 mPrecision=79.0631 mRecall=76.9165
[2026-04-18 22:36:34,799] iter=9550/10000 lr=2.36842e-05 loss=0.253740
[2026-04-18 22:36:54,527] iter=9600/10000 lr=2.10526e-05 loss=0.192366
[2026-04-18 22:37:09,483] iter=9650/10000 lr=1.84211e-05 loss=0.258419
[2026-04-18 22:37:28,467] iter=9700/10000 lr=1.57895e-05 loss=0.226908
[2026-04-18 22:37:45,268] iter=9750/10000 lr=1.31579e-05 loss=0.326767
[2026-04-18 22:38:03,870] iter=9800/10000 lr=1.05263e-05 loss=0.168249
[2026-04-18 22:38:21,161] iter=9850/10000 lr=7.89474e-06 loss=0.395467
[2026-04-18 22:38:40,580] iter=9900/10000 lr=5.26316e-06 loss=0.220067
[2026-04-18 22:38:57,706] iter=9950/10000 lr=2.63158e-06 loss=0.206242
[2026-04-18 22:39:15,919] iter=10000/10000 lr=0 loss=0.800333
[2026-04-18 22:39:27,993] [VAL] iter=10000 aAcc=91.1303 mIoU=68.3050 mDice=79.0844 mFscore=79.0844 mPrecision=82.8111 mRecall=76.3945
[2026-04-18 22:39:28,915] [BEST] iter=10000 mIoU=68.3050 saved=/root/autodl-tmp/tactile_topo_seg/work_dirs/revise/bevanet_s_tp_revise/ckpt/best_mIoU_iter_10000.pth
[OK] per-sample csv: /root/autodl-tmp/tactile_topo_seg/work_dirs/revise/bevanet_s_tp_revise/metrics/topology_per_sample.csv
[OK] summary csv   : /root/autodl-tmp/tactile_topo_seg/work_dirs/revise/bevanet_s_tp_revise/metrics/topology_summary.csv
[SUMMARY] N=281 dice=0.5027 iou=0.4231 clDice=0.4520
